Date,Equity
16-06-2017,1037695.661
19-06-2017,1037695.661
20-06-2017,1037695.661
21-06-2017,1037695.661
22-06-2017,1037695.661
23-06-2017,1037695.661
26-06-2017,1037695.661
27-06-2017,1037695.661
28-06-2017,1037695.661
29-06-2017,1037695.661
30-06-2017,1040984.798
03-07-2017,1041616.525
04-07-2017,1040964.662
05-07-2017,1041910.308
06-07-2017,1039896.19
07-07-2017,1041840.494
10-07-2017,1043031.685
11-07-2017,1044856.638
12-07-2017,1044200.623
13-07-2017,1046473.372
14-07-2017,1047774.274
17-07-2017,1046363.46
18-07-2017,1047054.265
19-07-2017,1046227.759
20-07-2017,1049061.788
21-07-2017,1050691.926
24-07-2017,1047211.312
25-07-2017,1048274.356
26-07-2017,1050546.576
27-07-2017,1052583.369
28-07-2017,1052527.561
31-07-2017,1052527.561
01-08-2017,1050701.259
02-08-2017,1051963.303
03-08-2017,1052816.359
04-08-2017,1049733.347
07-08-2017,1053224.173
08-08-2017,1053425.533
09-08-2017,1052549.178
10-08-2017,1050497.36
11-08-2017,1053926.459
14-08-2017,1057742.992
15-08-2017,1053913.851
16-08-2017,1054523.669
17-08-2017,1054439.171
18-08-2017,1054439.171
21-08-2017,1054439.171
22-08-2017,1054439.171
23-08-2017,1054439.171
24-08-2017,1054439.171
25-08-2017,1054439.171
28-08-2017,1054439.171
29-08-2017,1054439.171
30-08-2017,1054439.171
31-08-2017,1054439.171
01-09-2017,1054439.171
04-09-2017,1054439.171
05-09-2017,1054439.171
06-09-2017,1054439.171
07-09-2017,1054439.171
08-09-2017,1054439.171
11-09-2017,1054439.171
12-09-2017,1054439.171
13-09-2017,1054439.171
14-09-2017,1054439.171
15-09-2017,1054439.171
18-09-2017,1054439.171
19-09-2017,1054439.171
20-09-2017,1054439.171
21-09-2017,1054439.171
22-09-2017,1054439.171
25-09-2017,1054439.171
26-09-2017,1054439.171
27-09-2017,1054439.171
28-09-2017,1054439.171
29-09-2017,1054439.171
02-10-2017,1054439.171
03-10-2017,1054439.171
04-10-2017,1054439.171
05-10-2017,1054439.171
06-10-2017,1054439.171
09-10-2017,1054439.171
10-10-2017,1054439.171
11-10-2017,1054439.171
12-10-2017,1054439.171
13-10-2017,1054439.171
16-10-2017,1054439.171
17-10-2017,1054439.171
18-10-2017,1054439.171
19-10-2017,1054439.171
20-10-2017,1054439.171
23-10-2017,1054439.171
24-10-2017,1054439.171
25-10-2017,1054439.171
26-10-2017,1054439.171
27-10-2017,1054439.171
30-10-2017,1054439.171
31-10-2017,1054439.171
01-11-2017,1054439.171
02-11-2017,1054439.171
03-11-2017,1054439.171
06-11-2017,1054439.171
07-11-2017,1054439.171
08-11-2017,1054439.171
09-11-2017,1054439.171
10-11-2017,1054439.171
13-11-2017,1054439.171
14-11-2017,1054439.171
15-11-2017,1054439.171
16-11-2017,1054439.171
17-11-2017,1054439.171
20-11-2017,1054439.171
21-11-2017,1054439.171
22-11-2017,1054439.171
23-11-2017,1054439.171
24-11-2017,1054439.171
27-11-2017,1054439.171
28-11-2017,1054439.171
29-11-2017,1054439.171
30-11-2017,1054439.171
01-12-2017,1054439.171
04-12-2017,1054439.171
05-12-2017,1056004.088
06-12-2017,1055199.063
07-12-2017,1053958.084
08-12-2017,1055852.753
11-12-2017,1058265.992
12-12-2017,1059488.44
